Phoneme_L1_1-1 fast
Phoneme_L1_1-2 vast
Phoneme_L1_2-1 feel
Phoneme_L1_2-2 veal
Phoneme_L1_3-1 foal
Phoneme_L1_3-2 vole
Phoneme_L1_4-1 ferry
Phoneme_L1_4-2 very
Phoneme_L1_5-1 fan
Phoneme_L1_5-2 van
Phoneme_L1_6-1 few
Phoneme_L1_6-2 view
Phoneme_L1_7-1 fear
Phoneme_L1_7-2 veer
Phoneme_L1_8-1 file
Phoneme_L1_8-2 vile
Phoneme_L1_9-1 fat
Phoneme_L1_9-2 vat
Phoneme_L1_10-1 fail
Phoneme_L1_10-2 veil
Phoneme_L1_11-1 suffer
Phoneme_L1_11-2 cover
Phoneme_L1_12-1 deafer
Phoneme_L1_12-2 never
Phoneme_L1_13-1 sniffing
Phoneme_L1_13-2 giving
Phoneme_L1_14-1 proofing
Phoneme_L1_14-2 proving
Phoneme_L1_15-1 rougher
Phoneme_L1_15-2 lover
Phoneme_L1_16-1 sofa
Phoneme_L1_16-2 over
Phoneme_L1_17-1 safer
Phoneme_L1_17-2 savour
Phoneme_L1_18-1 offer
Phoneme_L1_18-2 hover
Phoneme_L1_19-1 defied
Phoneme_L1_19-2 divide
Phoneme_L1_20-1 refuse
Phoneme_L1_20-2 reviews
Phoneme_L1_21-1 leaf
Phoneme_L1_21-2 leave
Phoneme_L1_22-1 half
Phoneme_L1_22-2 halve
Phoneme_L1_23-1 calf
Phoneme_L1_23-2 carve
Phoneme_L1_24-1 proof
Phoneme_L1_24-2 prove
Phoneme_L1_25-1 surf
Phoneme_L1_25-2 serve
Phoneme_L1_26-1 life
Phoneme_L1_26-2 live
Phoneme_L1_27-1 strife
Phoneme_L1_27-2 strive
Phoneme_L1_28-1 ralph
Phoneme_L1_28-2 rave
Phoneme_L1_29-1 waif
Phoneme_L1_29-2 wave
Phoneme_L1_30-1 safe
Phoneme_L1_30-2 save
Phoneme_L1_31-1 stiff
Phoneme_L1_31-2 sieve
Phoneme_L1_32-1 off
Phoneme_L1_32-2 of
Phoneme_L1_33-1 thin
Phoneme_L1_33-2 then
Phoneme_L1_34-1 think
Phoneme_L1_34-2 this
Phoneme_L1_35-1 thief
Phoneme_L1_35-2 these
Phoneme_L1_36-1 thank
Phoneme_L1_36-2 that
Phoneme_L1_37-1 thought
Phoneme_L1_37-2 those
Phoneme_L1_38-1 fine
Phoneme_L1_38-2 furs
Phoneme_L1_38-3 thin
Phoneme_L1_39-1 free
Phoneme_L1_39-2 three
Phoneme_L1_40-1 first
Phoneme_L1_40-2 thirst
Phoneme_L1_41-1 that
Phoneme_L1_41-2 vat
Phoneme_L1_42-1 they
Phoneme_L1_42-2 vain
Phoneme_L1_43-1 fought
Phoneme_L1_43-2 thought
Phoneme_L1_44-1 frill
Phoneme_L1_44-2 thrill
Phoneme_L1_45-1 forty
Phoneme_L1_45-2 thirty
Phoneme_L1_46-1 then
Phoneme_L1_46-2 vent
Phoneme_L1_47-1 though
Phoneme_L1_47-2 vote
Phoneme_L1_48-1 author
Phoneme_L1_48-2 other
Phoneme_L1_49-1 Arthur
Phoneme_L1_49-2 rather
Phoneme_L1_50-1 earthy
Phoneme_L1_50-2 worthy
Phoneme_L1_51-1 Martha
Phoneme_L1_51-2 mother
Phoneme_L1_52-1 bertha
Phoneme_L1_52-2 further
Phoneme_L1_53-1 growth
Phoneme_L1_53-2 lathe
Phoneme_L1_54-1 tooth
Phoneme_L1_54-2 smooth
Phoneme_L1_55-1 wreath
Phoneme_L1_55-2 breath
Phoneme_L1_56-1 faith
Phoneme_L1_56-2 bath
Phoneme_L1_57-1 moth
Phoneme_L1_57-2 myth
Phoneme_L1_58-1 death
Phoneme_L1_58-2 wrath
Phoneme_L1_59-1 author
Phoneme_L1_59-2 offer
Phoneme_L1_60-1 nothing
Phoneme_L1_60-2 puffing
Phoneme_L1_61-1 brother
Phoneme_L1_61-2 lover
Phoneme_L1_62-1 Arthur
Phoneme_L1_62-2 tougher
Phoneme_L1_63-1 toothy
Phoneme_L1_63-2 roofing
Phoneme_L1_64-1 leather
Phoneme_L1_64-2 never
Phoneme_L1_65-1 father
Phoneme_L1_65-2 carver
Phoneme_L1_66-1 sink
Phoneme_L1_66-2 zinc
Phoneme_L1_67-1 sue
Phoneme_L1_67-2 zoo
Phoneme_L1_68-1 said
